CaseIndex,Scenario,ModType,ChannelCoding,Rate,NumBytesInTransferFrame,NumBitsInInformationBlock,IsLDPCOnSMTF,TPCBlocksPerTF,HEnabled,EqualizerEnabled,NormalizeHChannel,NormalizeEqualizerOutput,BER,LockRate_pct,FER,CountedFrames,MatchedFrames,FrameDuration_s,MatchedDuration_s,CountedDuration_s,EVM_post_pct,MER_dB,SNR_est_dB,ResidualCFO_Hz,HGain_dB,HNormalizationGain_dB,HMeanCoeffMagnitude,HOutOfRangeMode,HSourceDuration_s,WaveformDuration_s,ExceedsHDuration,NoisePlacement,NoiseMode,NoisePSD_dBmHz,NoiseBandwidthHz,NoisePower_dBm,NoiseEquivalentSNR_dB,EqualizerMode,GMSKDetectorUsed,Success,Status,ErrorMessage,Runtime_s,TestStage,ImpairmentProfile,InputCFO_Hz,InputPhase_deg,InputDelay,ExpectedCountedFrames,UnlockedFrames,BadMatchedFrames,EffectiveFailedFrames,EffectiveFER_pct,GoodFrames,ExceedsTrustedOneSecond
13,NoH_baseline,GMSK,Turbo,1/4,1115,1784,0,NaN,0,0,0,0,0.007847533632287,53.8461538461538,0.125,16,21,0.001784,0.037464,0.028544,3.72384955974678,28.5801574490424,28.5801574490424,NaN,0,NaN,NaN,,NaN,NaN,0,afterChannel,snr,NaN,NaN,NaN,NaN,,official,1,OK,,5.2152829,noh-impairments,cfo_p2k_phase_30deg,2000,30,0,16,0,2,2,12.5,14,0
14,NoH_baseline,GMSK,Turbo,1/6,1115,1784,0,NaN,0,0,0,0,0,56.4102564102564,0,18,22,0.002676,0.058872,0.048168,3.72773011628379,28.5711107528177,28.5711107528177,NaN,0,NaN,NaN,,NaN,NaN,0,afterChannel,snr,NaN,NaN,NaN,NaN,,official,1,OK,,6.1488323,noh-impairments,cfo_p2k_phase_30deg,2000,30,0,18,0,0,0,0,18,0
15,NoH_baseline,GMSK,TPC,1/2_x8,1024,NaN,0,8,0,0,0,0,0.5,0,NaN,0,39,0.0008192,0.0319488,0,3.73521231463205,28.5536941449636,28.5536941449636,NaN,0,NaN,NaN,,NaN,NaN,0,afterChannel,snr,NaN,NaN,NaN,NaN,,official,1,OK,,309.4298234,noh-impairments,cfo_p2k_phase_30deg,2000,30,0,0,0,NaN,NaN,NaN,0,0
16,NoH_baseline,GMSK,TPC,2/3_x4,1352,NaN,0,4,0,0,0,0,0.5,0,NaN,0,39,0.0008112,0.0316368,0,3.73836990818456,28.5463545560133,28.5463545560133,NaN,0,NaN,NaN,,NaN,NaN,0,afterChannel,snr,NaN,NaN,NaN,NaN,,official,1,OK,,158.5840695,noh-impairments,cfo_p2k_phase_30deg,2000,30,0,0,0,NaN,NaN,NaN,0,0
1,NoH_baseline,GMSK,none,none,1115,NaN,0,NaN,0,0,0,0,0.0240414798206278,56.4102564102564,0.25,20,22,0.000446,0.009812,0.00892,3.68396429375465,28.6736917557169,28.6736917557169,NaN,0,NaN,NaN,,NaN,NaN,0,afterChannel,snr,NaN,NaN,NaN,NaN,,official,1,OK,,4.1561244,noh-impairments,combined_cfo_m5k_phase_90_delay_0p25,-5000,90,0.25,20,0,5,5,25,15,0
2,NoH_baseline,GMSK,convolutional,1/2,1115,NaN,0,NaN,0,0,0,0,0.262556053811659,97.3684210526316,0.620689655172414,29,37,0.000892,0.033004,0.025868,3.65688372285181,28.73777697222,28.73777697222,NaN,0,NaN,NaN,,NaN,NaN,0,afterChannel,snr,NaN,NaN,NaN,NaN,,official,1,OK,,7.354039,noh-impairments,combined_cfo_m5k_phase_90_delay_0p25,-5000,90,0.25,29,0,18,18,62.0689655172414,11,0
3,NoH_baseline,GMSK,convolutional,2/3,1115,NaN,0,NaN,0,0,0,0,0.275048579970105,97.3684210526316,0.633333333333333,30,37,0.000669,0.024753,0.02007,3.68602720827091,28.6688292675352,28.6688292675352,NaN,0,NaN,NaN,,NaN,NaN,0,afterChannel,snr,NaN,NaN,NaN,NaN,,official,1,OK,,5.4390735,noh-impairments,combined_cfo_m5k_phase_90_delay_0p25,-5000,90,0.25,30,0,19,19,63.3333333333333,11,0
4,NoH_baseline,GMSK,convolutional,3/4,1115,NaN,0,NaN,0,0,0,0,0.242081464872945,100,0.566666666666667,30,38,0.000594666666666667,0.0225973333333333,0.01784,3.702196461744,28.6308107716978,28.6308107716978,NaN,0,NaN,NaN,,NaN,NaN,0,afterChannel,snr,NaN,NaN,NaN,NaN,,official,1,OK,,5.2883288,noh-impairments,combined_cfo_m5k_phase_90_delay_0p25,-5000,90,0.25,30,0,17,17,56.6666666666667,13,0
5,NoH_baseline,GMSK,convolutional,5/6,1116,NaN,0,NaN,0,0,0,0,0.227265839131351,100,0.5,34,38,0.00053568,0.02035584,0.01821312,3.67020765990051,28.7061872544813,28.7061872544813,NaN,0,NaN,NaN,,NaN,NaN,0,afterChannel,snr,NaN,NaN,NaN,NaN,,official,1,OK,,4.4841604,noh-impairments,combined_cfo_m5k_phase_90_delay_0p25,-5000,90,0.25,34,0,17,17,50,17,0
6,NoH_baseline,GMSK,convolutional,7/8,1123,NaN,0,NaN,0,0,0,0,0.177472071561564,73.6842105263158,0.454545454545455,22,28,0.000513371428571429,0.0143744,0.0112941714285714,3.66222725585563,28.7250941897537,28.7250941897537,NaN,0,NaN,NaN,,NaN,NaN,0,afterChannel,snr,NaN,NaN,NaN,NaN,,official,1,OK,,4.330536,noh-impairments,combined_cfo_m5k_phase_90_delay_0p25,-5000,90,0.25,22,0,10,10,45.4545454545455,12,0
