Category,CaseName,Modulation,Coding,PCMFormat,InputSNR_dB,CFO_Hz,Phase_deg,Delay_symbols,BER,LockRate_pct,EVM_post_pct,SNR_est_dB,MER_dB,PAPR_dB,PassBER,PassLock_pct,Success,Verdict,ErrorMsg,ElapsedTime_s
Coding,8PSK LDPC1/2 @ 12dB,8PSK,LDPC,NRZ-L,12,20000,10,0.1,0,91.6666666666667,12.802835758909,17.8538765163476,17.8538765163476,3.70404876617608,0.0001,80,1,PASS,,5.9471558
Coding,8PSK Turbo1/2 @ 8dB,8PSK,Turbo,NRZ-L,8,20000,10,0.1,0.00188812839273071,95.6521739130435,19.5877018106556,14.1603303199219,14.160330319922,3.71421379054957,0.0001,80,1,WARN,,9.8411821
Coding,8PSK Turbo1/2 @ 12dB,8PSK,Turbo,NRZ-L,12,20000,10,0.1,0,95.6521739130435,12.9991572237158,17.7216960691776,17.7216960691776,3.82411573557418,0.0001,80,1,PASS,,10.6401267
Coding,8PSK Turbo1/2 @ 16dB,8PSK,Turbo,NRZ-L,16,20000,10,0.1,0,95.6521739130435,8.39914549088651,21.5152979155954,21.5152979155955,3.81612567492595,0.0001,80,1,PASS,,11.3975873
Coding,BPSK TPC @ 8dB,BPSK,TPC,NRZ-L,8,20000,10,0.1,0,100,20.1995875133333,13.8931499798915,13.8931499798916,3.97175850674085,0.0001,80,1,PASS,,4.4450924
Coding,BPSK TPC @ 12dB,BPSK,TPC,NRZ-L,12,20000,10,0.1,0,100,13.2742795109749,17.5397808367935,17.5397808367935,3.9721447201229,0.0001,80,1,PASS,,4.4868234
Coding,BPSK TPC @ 16dB,BPSK,TPC,NRZ-L,16,20000,10,0.1,0,100,8.72799185684796,21.1817133522614,21.1817133522615,3.97199832031091,0.0001,80,1,PASS,,4.470095
Extension modulation,UQPSK conv1/2 @ 14dB,UQPSK,convolutional,NRZ-L,14,50000,10,0.1,0,100,7.2762205401184,22.7618829214042,22.7618829214044,3.82041919821565,0.0001,80,1,PASS,,6.0326676
Extension modulation,UQPSK conv1/2 @ 18dB,UQPSK,convolutional,NRZ-L,18,50000,10,0.1,0,100,4.89994474713704,26.1961763428938,26.1961763428941,3.82049397698498,0.0001,80,1,PASS,,6.056941
Extension modulation,UQPSK conv1/2 @ 22dB,UQPSK,convolutional,NRZ-L,22,50000,10,0.1,0,100,3.44848463052102,29.2474341053735,29.2474341053742,3.82045897549448,0.0001,80,1,PASS,,5.9488719
Extension modulation,FM conv1/2 @ 4dB,FM,convolutional,NRZ-L,4,2000000,10,0.1,0.000377625678546141,100,NaN,NaN,NaN,0,0.0001,80,1,WARN,,10.8727916
Extension modulation,FM conv1/2 @ 6dB,FM,convolutional,NRZ-L,6,2000000,10,0.1,0,100,NaN,NaN,NaN,0,0.0001,80,1,PASS,,8.4302466
Extension modulation,FM conv1/2 @ 8dB,FM,convolutional,NRZ-L,8,2000000,10,0.1,0,100,NaN,NaN,NaN,0,0.0001,80,1,PASS,,8.4647139
Extension modulation,FM conv1/2 @ 10dB,FM,convolutional,NRZ-L,10,2000000,10,0.1,0,100,NaN,NaN,NaN,0,0.0001,80,1,PASS,,8.5300476
FACM APSK,16APSK ACM14 @ 20dB,16APSK,none,NRZ-L,20,20000,10,0.1,0,100,10.5014480045265,19.8279533593981,19.5750162719002,4.92223652484544,0.0001,80,1,PASS,,76.7261514
FACM APSK,16APSK ACM14 @ 22dB,16APSK,none,NRZ-L,22,20000,10,0.1,0,100,8.54369642009558,21.7812077851199,21.367083833229,4.92223652484544,0.0001,80,1,PASS,,77.2550488
FACM APSK,16APSK ACM14 @ 24dB,16APSK,none,NRZ-L,24,20000,10,0.1,0,100,6.90341114316969,23.7195120564813,23.2187252154364,4.92223652484544,0.0001,80,1,PASS,,77.0678621
FACM APSK,32APSK ACM21 @ 24dB,32APSK,none,NRZ-L,24,20000,10,0.1,0,100,7.19800504818527,23.7219098215997,22.8557570619749,5.83966923907207,0.001,70,1,PASS,,90.76971
FACM APSK,32APSK ACM21 @ 26dB,32APSK,none,NRZ-L,26,20000,10,0.1,0,100,6.00230364611723,25.6548547040537,24.4336407630366,5.83966923907207,0.001,70,1,PASS,,90.6161227
FACM APSK,32APSK ACM21 @ 28dB,32APSK,none,NRZ-L,28,20000,10,0.1,0,100,5.10322421045026,27.587633166751,25.8431070099093,5.83966923907207,0.001,70,1,PASS,,89.9064279
