ModType,NoisePSD,Seed,EqSNR_dB,LockPct,BER,FER,SyncOK,DecodeOK,ZeroErrorOK
32QAM,-155,364241807,9.24974328559534,92.1348314606742,0.0282946134868421,0.0657894736842105,0,0,0
32QAM,-154,364232726,8.24434028066986,80.8988764044944,0.0974786931818182,0.212121212121212,0,0,0
32QAM,-154,364233735,8.26261470292539,87.6404494382023,0.0654296875,0.176470588235294,0,0,0
32QAM,-154,364234744,8.25249329504885,80.8988764044944,0.0580357142857143,0.158730158730159,0,0,0
32QAM,-154,364235753,8.25293703017394,43.8202247191011,0.228407118055556,0.555555555555556,0,0,0
32QAM,-154,364236762,8.24970198201063,60.6741573033708,0.0137803819444444,0.0277777777777778,0,0,0
32QAM,-154,364237771,8.2658420087252,0,0.5,NaN,0,0,0
32QAM,-154,364238780,8.26380618350345,86.5168539325843,0.0724103009259259,0.166666666666667,0,0,0
32QAM,-154,364239789,8.25339082298197,85.3932584269663,0.0597452192164179,0.164179104477612,0,0,0
32QAM,-154,364240798,8.25157767788021,87.6404494382023,0.0675030048076923,0.184615384615385,0,0,0
32QAM,-154,364241807,8.24974328559534,85.3932584269663,0.0721400669642857,0.2,0,0,0
16APSK,-164,364232726,17.7912208405486,100,0,0,1,1,1
16APSK,-164,364233735,17.7835960545389,100,0,0,1,1,1
16APSK,-164,364234744,17.7791024628318,100,0,0,1,1,1
16APSK,-164,364235753,17.7830920996295,100,0,0,1,1,1
16APSK,-164,364236762,17.7780972348025,100,0,0,1,1,1
16APSK,-164,364237771,17.7823478985795,100,0,0,1,1,1
16APSK,-164,364238780,17.794896231185,100,0,0,1,1,1
16APSK,-164,364239789,17.7789143519149,100,0.00015673225308642,0.0246913580246914,1,0,0
16APSK,-164,364240798,17.7875532604878,100,1.20563271604938e-05,0.0123456790123457,1,0,0
16APSK,-164,364241807,17.7932000208841,100,0,0,1,1,1
16APSK,-163,364232726,16.7912208405486,100,0,0,1,1,1
16APSK,-163,364233735,16.7835960545389,100,0,0,1,1,1
16APSK,-163,364234744,16.7791024628318,100,4.82253086419753e-05,0.0123456790123457,1,0,0
16APSK,-163,364235753,16.7830920996295,98.876404494382,0,0,1,1,1
16APSK,-163,364236762,16.7780972348025,100,0,0,1,1,1
16APSK,-163,364237771,16.7823478985795,100,2.41126543209877e-05,0.0123456790123457,1,0,0
16APSK,-163,364238780,16.794896231185,100,0,0,1,1,1
16APSK,-163,364239789,16.7789143519149,100,0.00465374228395062,0.0246913580246914,1,0,0
16APSK,-163,364240798,16.7875532604878,100,2.41126543209877e-05,0.0246913580246914,1,0,0
16APSK,-163,364241807,16.7932000208841,100,0,0,1,1,1
16APSK,-162,364232726,15.7912208405486,100,0,0,1,1,1
16APSK,-162,364233735,15.7835960545389,100,2.41126543209877e-05,0.0123456790123457,1,0,0
16APSK,-162,364234744,15.7791024628318,100,0.00536506558641975,0.0246913580246914,1,0,0
16APSK,-162,364235753,15.7830920996295,98.876404494382,0.00591965663580247,0.0246913580246914,1,0,0
16APSK,-162,364236762,15.7780972348025,100,0,0,1,1,1
