Scenario,ModType,RSName,RSMessageLength,RSInterleavingDepth,InputBytes,CodedBytes,Runs,BER_mean,BER_median,BER_worst,Lock_mean_pct,Lock_worst_pct,FER_mean,MER_mean_dB,PassRate_pct,ZeroBERRate_pct,ErrorRuns
std8_Lutz,QPSK,"RS(255,239)_D1",239,1,239,255,1,0,0,0,100,100,0,36.1137728267539,100,100,0
std8_Lutz,QPSK,"RS(255,239)_D2",239,2,478,510,1,0,0,0,100,100,0,36.5044637716666,100,100,0
std8_Lutz,QPSK,"RS(255,239)_D3",239,3,717,765,1,0,0,0,100,100,0,36.7295882826854,100,100,0
std8_Lutz,QPSK,"RS(255,239)_D4",239,4,956,1020,1,0,0,0,100,100,0,35.4441563381822,100,100,0
std8_Lutz,QPSK,"RS(255,239)_D5",239,5,1195,1275,1,0,0,0,100,100,0,35.525218658848,100,100,0
std8_Lutz,QPSK,"RS(255,239)_D8",239,8,1912,2040,1,0,0,0,100,100,0,36.6572712146882,100,100,0
std8_Lutz,8PSK,"RS(255,223)_D1",223,1,223,255,1,0,0,0,100,100,0,35.929534481094,100,100,0
std8_Lutz,8PSK,"RS(255,223)_D2",223,2,446,510,1,0,0,0,100,100,0,35.8651635495734,100,100,0
std8_Lutz,8PSK,"RS(255,223)_D3",223,3,669,765,1,0,0,0,100,100,0,36.4873303030681,100,100,0
std8_Lutz,8PSK,"RS(255,223)_D4",223,4,892,1020,1,0,0,0,100,100,0,35.7040940131084,100,100,0
